word,ipa_patterns,ipa_count
sample,,0
abortion,,0
absorption,,0
absorption,,0
acceleration,,0
accomplishment,,0
accomplishment,,0
accomplishment,,0
accord,,0
accord,,0
accordance,,0
accountability,,0
accrual,,0
accumulation,,0
acre,,0
activist,,0
adaptation,,0
adaptation,,0
administrator,,0
adolescent,,0
advertiser,,0
advisory,,0
aerosol,,0
affiliate,,0
aggregate,,0
airfare,,0
alert,,0
algebra,,0
algorithm,,0
alien,,0
alien,,0
allocation,,0
alpha,,0
alpha,,0
alternate,,0
amendment,,0
amino,,0
amortization,,0
amplitude,,0
announcer,,0
annuity,,0
annum,,0
anthropology,,0
antibody,,0
antiquity,,0
antiquity,,0
appendix,,0
appendix,,0
appliance,,0
appraisal,,0
